Bond Name,Accrual Start,Accrual End,Payment Date,Accrual Factor,Coupon Rule,Mean Coupon Rate,Min Coupon Rate,Max Coupon Rate,Mean Coupon Amount,Run Timestamp
HybridBond_1,"November 29th, 2024","February 28th, 2025","February 28th, 2025",0.2493150684931507,INITIAL_FIXED,0.01,0.01,0.01,24931.506849315072,2026-09-07 20:40:51.198048
HybridBond_1,"February 28th, 2025","May 29th, 2025","May 29th, 2025",0.2465753424657534,INITIAL_FIXED,0.01,0.01,0.01,24657.534246575342,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2025","August 29th, 2025","August 29th, 2025",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_1,"August 29th, 2025","November 29th, 2025","November 28th, 2025",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_1,"November 29th, 2025","February 28th, 2026","February 27th, 2026",0.2493150684931507,INITIAL_FIXED,0.01,0.01,0.01,24931.506849315072,2026-09-07 20:40:51.198048
HybridBond_1,"February 28th, 2026","May 29th, 2026","May 29th, 2026",0.2465753424657534,INITIAL_FIXED,0.01,0.01,0.01,24657.534246575342,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2026","August 29th, 2026","August 31st, 2026",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_1,"August 29th, 2026","November 29th, 2026","November 30th, 2026",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_1,"November 29th, 2026","February 28th, 2027","February 26th, 2027",0.2493150684931507,INITIAL_FIXED,0.01,0.01,0.01,24931.506849315072,2026-09-07 20:40:51.198048
HybridBond_1,"February 28th, 2027","May 29th, 2027","May 31st, 2027",0.2465753424657534,INITIAL_FIXED,0.01,0.01,0.01,24657.534246575342,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2027","August 29th, 2027","August 30th, 2027",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_1,"August 29th, 2027","November 29th, 2027","November 29th, 2027",0.25205479452054796,FIXED,0.02,0.02,0.02,50410.9589041096,2026-09-07 20:40:51.198048
HybridBond_1,"November 29th, 2027","February 29th, 2028","February 29th, 2028",0.25205479452054796,FIXED,0.02,0.02,0.02,50410.9589041096,2026-09-07 20:40:51.198048
HybridBond_1,"February 29th, 2028","May 29th, 2028","May 29th, 2028",0.2465753424657534,FIXED,0.02,0.02,0.02,49315.068493150684,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2028","August 29th, 2028","August 29th, 2028",0.25205479452054796,FIXED,0.02,0.02,0.02,50410.9589041096,2026-09-07 20:40:51.198048
HybridBond_1,"August 29th, 2028","November 29th, 2028","November 29th, 2028",0.25205479452054796,FIXED,0.02,0.02,0.02,50410.9589041096,2026-09-07 20:40:51.198048
HybridBond_1,"November 29th, 2028","February 28th, 2029","February 28th, 2029",0.2493150684931507,FIXED,0.02,0.02,0.02,49863.013698630144,2026-09-07 20:40:51.198048
HybridBond_1,"February 28th, 2029","May 29th, 2029","May 29th, 2029",0.2465753424657534,FIXED,0.02,0.02,0.02,49315.068493150684,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2029","August 29th, 2029","August 29th, 2029",0.25205479452054796,FIXED,0.02,0.02,0.02,50410.9589041096,2026-09-07 20:40:51.198048
HybridBond_2,"November 29th, 2024","February 28th, 2025","February 28th, 2025",0.2493150684931507,INITIAL_FIXED,0.01,0.01,0.01,24931.506849315072,2026-09-07 20:40:51.198048
HybridBond_2,"February 28th, 2025","May 29th, 2025","May 29th, 2025",0.2465753424657534,INITIAL_FIXED,0.01,0.01,0.01,24657.534246575342,2026-09-07 20:40:51.198048
HybridBond_2,"May 29th, 2025","August 29th, 2025","August 29th, 2025",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_2,"August 29th, 2025","November 29th, 2025","November 28th, 2025",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_2,"November 29th, 2025","February 28th, 2026","February 27th, 2026",0.2493150684931507,INITIAL_FIXED,0.01,0.01,0.01,24931.506849315072,2026-09-07 20:40:51.198048
HybridBond_2,"February 28th, 2026","May 29th, 2026","May 29th, 2026",0.2465753424657534,INITIAL_FIXED,0.01,0.01,0.01,24657.534246575342,2026-09-07 20:40:51.198048
HybridBond_2,"May 29th, 2026","August 29th, 2026","August 31st, 2026",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_2,"August 29th, 2026","November 29th, 2026","November 30th, 2026",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
HybridBond_2,"November 29th, 2026","February 28th, 2027","February 26th, 2027",0.2493150684931507,INITIAL_FIXED,0.01,0.01,0.01,24931.506849315072,2026-09-07 20:40:51.198048
HybridBond_2,"February 28th, 2027","May 29th, 2027","May 31st, 2027",0.2465753424657534,INITIAL_FIXED,0.01,0.01,0.01,24657.534246575342,2026-09-07 20:40:51.198048
HybridBond_2,"May 29th, 2027","August 29th, 2027","August 30th, 2027",0.25205479452054796,INITIAL_FIXED,0.01,0.01,0.01,25205.4794520548,2026-09-07 20:40:51.198048
