Option Expiry,Swap Tenor,Market Vol,Market Value,Model Value,Price Error,Relative Price Error,Model Implied Vol
1Y,1Y,0.21,0.0013084927610844,0.0014130424787799,0.0001045497176954,0.0799008758816215,
1Y,2Y,0.2,0.0026272408808413,0.0027232558104175,9.60149295762074e-05,0.0365459179157794,
1Y,3Y,0.19,0.0038219940302698,0.0038527250955744,3.0731065304539975e-05,0.008040584328796,
1Y,5Y,0.18,0.0060771854962356,0.00606153088056,-1.565461567560114e-05,-0.0025759647595581,
1Y,10Y,0.17,0.0113386744766847,0.0101550145623388,-0.0011836599143459,-0.104391383382584,
2Y,1Y,0.2,0.0019522148370966,0.0019194647432086,-3.2750093887997e-05,-0.0167758656812094,
2Y,2Y,0.19,0.0037297786315045,0.0036313579457369,-9.842068576762378e-05,-0.0263878089000474,
2Y,3Y,0.18,0.0052875751306744,0.0052864253890982,-1.1497415761873783e-06,-0.0002174421256952,
2Y,5Y,0.17,0.0082310224726874,0.0082511322061909,2.010973350348097e-05,0.0024431634794109,
2Y,10Y,0.16,0.015112551990279,0.0145614283310201,-0.0005511236592588,-0.0364679413254225,
3Y,1Y,0.19,0.0022904714627938,0.0021987896757449,-9.168178704883814e-05,-0.0400274740541882,
3Y,2Y,0.18,0.0043015490903183,0.004237366009812,-6.418308050626462e-05,-0.0149209224766779,
3Y,3Y,0.17,0.0060667667664829,0.0061377564770589,7.098971057601343e-05,0.0117014075715273,
3Y,5Y,0.16,0.0094092391035076,0.0096869378635525,0.0002776987600448,0.0295134130390366,
3Y,10Y,0.15,0.0171453225155596,0.0173715424176677,0.000226219902108,0.0131942634443183,
5Y,1Y,0.18,0.0027134095257299,0.0026380021969412,-7.540732878870632e-05,-0.0277906184354608,
5Y,2Y,0.17,0.0051204536765087,0.0051017982116222,-1.865546488650019e-05,-0.0036433226555854,
5Y,3Y,0.16,0.0071903970909321,0.0074073798937635,0.0002169828028313,0.0301767482501043,
5Y,5Y,0.15,0.0111266530860705,0.0117361528863698,0.0006094998002993,0.0547783592770026,
5Y,10Y,0.14,0.0200974515324423,0.0212607304940572,0.0011632789616149,0.0578819140196512,
10Y,1Y,0.17,0.0034120601099237,0.0031617175603549,-0.0002503425495688,-0.0733699118725189,
10Y,2Y,0.16,0.0064074641343848,0.0061796121598479,-0.0002278519745369,-0.0355603979605851,
10Y,3Y,0.15,0.0089311204565992,0.0090316523436409,0.0001005318870417,0.0112563577582718,
10Y,5Y,0.14,0.0136711121891971,0.0144250071835224,0.0007538949943253,0.0551451106458657,
10Y,10Y,0.13,0.0243687764988725,0.026601808841492,0.0022330323426194,0.0916349798161926,
20Y,1Y,0.17,0.0039938855911023,0.0034852265947027,-0.0005086589963995,-0.127359431009436,
20Y,2Y,0.16,0.0074680275033334,0.0068396275021033,-0.0006284000012301,-0.0841453785420075,
20Y,3Y,0.15,0.0104367695964521,0.0100813049393377,-0.0003554646571144,-0.0340588774935973,
20Y,5Y,0.14,0.0160265582078655,0.0162652704562365,0.000238712248371,0.0148947918370804,
20Y,10Y,0.13,0.0287568809129039,0.0303220458233985,0.0015651649104946,0.0544274921621391,
