Item,Value,Description,Source
Simulation Mode,FINAL,FAST / FINAL,RunCallableHybridBond.py
Cache Used,True,기존 MC simulation cache 사용 여부,RunCallableHybridBond.py
Cache File,C:\Python\1.Quantlib\RunTool\Cache\g2_20250102_FINAL_10000p_30y_1m_seed12345.npz,사용한 cache 파일,RunCallableHybridBond.py
Valuation Date,20250102,평가기준일,Valuation
Number of Paths,10000,실제 생성/사용된 path 수,G2Simulation.py
Number of Time Steps,361,실제 time grid 개수,G2Simulation.py
Simulation Horizon (Y),30,Simulation 기간,RunCallableHybridBond.py
Time Step (M),1,Simulation step,RunCallableHybridBond.py
Random Seed,12345,난수 seed,RunCallableHybridBond.py
a,6.338972312700327e-07,Calibrated G2 parameter,G2Simulation.py
sigma,0.0027457980922038472,Calibrated G2 parameter,G2Simulation.py
b,0.11583506081408064,Calibrated G2 parameter,G2Simulation.py
eta,0.0032153225251314757,Calibrated G2 parameter,G2Simulation.py
rho,-0.21235456111029138,Calibrated G2 parameter,G2Simulation.py
Discount Factors Stored,True,Pathwise cumulative discount factor,G2Simulation.py
Integrated Short Rates Stored,False,Pathwise integrated short rates,G2Simulation.py
